# Hurricane Otis (EP182023) NHC best track -- real-data calibration for Part 10.
# Source: NOAA/NHC HURDAT2 Northeast/North-Central Pacific best-track database,
#   file hurdat2-nepac-1949-2023-042624.txt (https://www.nhc.noaa.gov/data/hurdat/).
#   Authoritative narrative: NHC Tropical Cyclone Report EP182023 (Reinhart & Reinhart, 2024).
#   Public domain (work of the U.S. Government).
# Wind radii are nautical miles by quadrant (NE,SE,SW,NW); rmw = radius of max wind (nmi).
# Blank = not analysed (-999 in HURDAT2). Winds in knots, pressure in millibars.
iso_time,status,lat_deg,lon_deg,vmax_kt,mslp_mb,r34_ne_nmi,r34_se_nmi,r34_sw_nmi,r34_nw_nmi,r50_ne_nmi,r50_se_nmi,r50_sw_nmi,r50_nw_nmi,r64_ne_nmi,r64_se_nmi,r64_sw_nmi,r64_nw_nmi,rmw_nmi
2023-10-21T00:00Z,LO,9.3,-95.8,25,1007,0,0,0,0,0,0,0,0,0,0,0,0,80
2023-10-21T06:00Z,LO,9.6,-96.1,25,1007,0,0,0,0,0,0,0,0,0,0,0,0,80
2023-10-21T12:00Z,LO,9.7,-96.6,25,1007,0,0,0,0,0,0,0,0,0,0,0,0,80
2023-10-21T18:00Z,LO,9.5,-96.9,25,1007,0,0,0,0,0,0,0,0,0,0,0,0,70
2023-10-22T00:00Z,LO,9.5,-96.7,25,1007,0,0,0,0,0,0,0,0,0,0,0,0,60
2023-10-22T06:00Z,LO,9.6,-96.6,30,1006,0,0,0,0,0,0,0,0,0,0,0,0,50
2023-10-22T12:00Z,TD,9.8,-96.7,30,1006,0,0,0,0,0,0,0,0,0,0,0,0,50
2023-10-22T18:00Z,TS,10.2,-96.9,35,1004,40,40,0,0,0,0,0,0,0,0,0,0,40
2023-10-23T00:00Z,TS,10.8,-97.1,35,1004,50,50,0,0,0,0,0,0,0,0,0,0,40
2023-10-23T06:00Z,TS,11.4,-97.2,35,1004,50,50,0,50,0,0,0,0,0,0,0,0,40
2023-10-23T12:00Z,TS,11.9,-97.3,40,1003,50,40,0,50,0,0,0,0,0,0,0,0,30
2023-10-23T18:00Z,TS,12.6,-97.6,45,1001,50,40,0,50,0,0,0,0,0,0,0,0,20
2023-10-24T00:00Z,TS,13.3,-98.0,50,998,50,40,30,50,20,20,0,0,0,0,0,0,20
2023-10-24T06:00Z,TS,13.8,-98.5,55,994,50,40,30,50,20,20,0,20,0,0,0,0,20
2023-10-24T12:00Z,HU,14.2,-98.9,65,990,50,40,30,50,30,20,0,30,15,10,0,15,10
2023-10-24T18:00Z,HU,14.9,-99.4,100,971,60,50,40,60,40,30,30,30,20,20,20,20,10
2023-10-25T00:00Z,HU,15.7,-99.6,130,938,60,50,50,60,40,30,30,30,20,20,20,20,5
2023-10-25T03:00Z,HU,16.1,-99.7,145,922,60,50,50,60,40,40,40,40,25,25,25,25,5
2023-10-25T06:00Z,HU,16.7,-99.8,145,924,60,50,50,60,40,40,40,40,25,25,25,25,5
2023-10-25T06:45Z,HU,16.8,-99.9,140,929,60,50,50,60,40,40,40,40,20,20,20,20,5
2023-10-25T12:00Z,HU,17.7,-100.3,85,980,50,50,40,40,20,20,20,20,10,10,0,10,10
2023-10-25T18:00Z,TS,18.6,-100.7,40,1004,30,30,20,20,0,0,0,0,0,0,0,0,20
