# Real Antarctic bedrock transect for Part 9 (subglacial cavity benchmark).
# Source: BEDMAP1 standardised airborne-radar data points, British Antarctic Survey / SCAR Bedmap.
#   Fretwell et al.; NERC EDS UK Polar Data Centre. DOI:10.5285/f64815ec-4077-4432-9f55-0ce230f46029
#   License: CC-BY-4.0 (https://creativecommons.org/licenses/by/4.0/)
#   File: BEDMAP1_1966-2000_AIR_BM1.csv, contiguous flight segment rows 1074814:1078843.
# Single coherent flight line: 4029 points, 220.4 km along-track, 1757 m bed relief.
# Columns: along-track distance (m), bedrock_altitude (m, WGS84), longitude, latitude.
along_track_m,bedrock_altitude_m,longitude_deg,latitude_deg
0.0,580.0,-77.8862,-77.1635
0.0,580.0,-77.8862,-77.1635
89.0,576.0,-77.8837,-77.1641
125.6,574.0,-77.8827,-77.1643
182.8,571.0,-77.8811,-77.1647
276.9,560.0,-77.8783,-77.1653
276.9,560.0,-77.8783,-77.1653
383.1,552.0,-77.8752,-77.166
383.1,552.0,-77.8752,-77.166
462.9,531.0,-77.8729,-77.1664
514.6,526.0,-77.8714,-77.1668
569.7,519.0,-77.8697,-77.1671
569.7,519.0,-77.8697,-77.1671
607.6,521.0,-77.8686,-77.1674
664.7,524.0,-77.867,-77.1677
664.7,524.0,-77.867,-77.1677
760.1,526.0,-77.8643,-77.1683
760.1,526.0,-77.8643,-77.1683
855.3,528.0,-77.8616,-77.1689
951.0,524.0,-77.8589,-77.1696
951.0,524.0,-77.8589,-77.1696
1045.6,513.0,-77.8564,-77.1702
1083.8,512.0,-77.8553,-77.1704
1141.2,509.0,-77.8538,-77.1708
1236.4,499.0,-77.8513,-77.1715
1236.4,499.0,-77.8513,-77.1715
1330.9,482.0,-77.8488,-77.1721
1425.8,501.0,-77.8462,-77.1728
1520.4,506.0,-77.8437,-77.1734
1520.4,506.0,-77.8437,-77.1734
1558.6,505.0,-77.8426,-77.1736
1616.1,505.0,-77.841,-77.174
1713.1,500.0,-77.8383,-77.1747
1713.1,500.0,-77.8383,-77.1747
1804.2,496.0,-77.8358,-77.1752
1804.2,496.0,-77.8358,-77.1752
1900.3,493.0,-77.833,-77.1759
1900.3,493.0,-77.833,-77.1759
1993.1,490.0,-77.8304,-77.1765
1993.1,490.0,-77.8304,-77.1765
2093.2,486.0,-77.8275,-77.1771
2203.1,486.0,-77.8243,-77.1778
2203.1,486.0,-77.8243,-77.1778
2294.7,482.0,-77.8215,-77.1783
2387.7,471.0,-77.8187,-77.1789
2478.7,465.0,-77.816,-77.1794
2478.7,465.0,-77.816,-77.1794
2514.1,458.0,-77.815,-77.1797
2567.5,451.0,-77.8134,-77.18
2658.7,446.0,-77.8107,-77.1806
2743.4,439.0,-77.8083,-77.1811
2743.4,439.0,-77.8083,-77.1811
2780.6,441.0,-77.8073,-77.1813
2834.9,442.0,-77.8058,-77.1817
